conversation_id,conn_id,local_start_time,call_date,month,agent_id,duration_seconds,channel,service_area,transcript_text
conv_0001,c00001,2025-01-01 11:10:28,2025-01-01,2025-01,2029,510,Voice,Telecom Postpaid Care,"Agente: Buenas tardes, gracias por llamar a soporte.
Cliente: Hola, me cobraron de más este mes en la boleta.
Agente: Identifiqué una diferencia de cobro y se regularizará en la próxima boleta.
Agente: ¿Hay algo más en que pueda ayudarle? Hasta luego."
conv_0002,c00002,2025-01-01 13:19:47,2025-01-01,2025-01,2024,350,Voice,Telecom Postpaid Care,"Cliente: Me aparece un cobro que no reconozco en mi facturación.
Cliente: Entiendo, necesito resolverlo hoy si es posible.
Agente: Comprendo la situación, dame un momento.
Agente: ¿Me puede indicar más detalles del inconveniente?
Agente: Un momento por favor, voy a revisar su cuenta.
Total de silencio/hold detectado: 0:29
Agente: Identifiqué una diferencia de cobro y se regularizará en la próxima boleta.
Agente: ¿Hay algo más en que pueda ayudarle? Hasta luego."
conv_0003,c00003,2025-01-01 08:34:22,2025-01-01,2025-01,2029,628,Voice,Telecom Postpaid Care,"Agente: Buenas tardes, gracias por llamar a soporte.
Cliente: Tengo una diferencia de cobro y quiero revisarla.
Agente: Voy a validar sus datos antes de continuar.
Agente: Lamento lo ocurrido, revisemos el caso.
Agente: Permanezca en línea mientras reviso su caso.
Total de silencio/hold detectado: 1:47
Agente: Identifiqué una diferencia de cobro y se regularizará en la próxima boleta.
Agente: Gracias por contactarnos, que tenga buen día."
conv_0004,c00004,2025-01-01 16:53:38,2025-01-01,2025-01,2009,524,Voice,Telecom Postpaid Care,"Agente: Hola, gracias por contactarte con servicio al cliente.
Cliente: Necesito información porque quiero portar mi línea.
Agente: Me confirma su nombre y número por favor.
Agente: Lamento lo ocurrido, revisemos el caso.
Agente: Un momento por favor, voy a revisar su cuenta.
Total de silencio/hold detectado: 0:53
Agente: Le explicaré los requisitos y tiempos para la portabilidad."
conv_0005,c00005,2025-01-01 13:10:59,2025-01-01,2025-01,2010,604,Voice,Telecom Postpaid Care,"Cliente: La línea presenta fallas y se corta a cada rato.
Cliente: No me solucionan nada y me siguen cobrando mal.
Agente: Me confirma su rut por favor.
Agente: Comprendo la situación, dame un momento.
Agente: ¿Desde cuándo ocurre este problema?
Total de silencio/hold detectado: 1:22
Agente: Quedó generada la orden técnica para revisar la conectividad del servicio.
Agente: Hasta luego y gracias por llamar."
conv_0006,c00006,2025-01-01 11:36:40,2025-01-01,2025-01,2024,574,Voice,Telecom Postpaid Care,"Agente: Hola, gracias por contactarte con servicio al cliente.
Cliente: No funciona internet desde ayer y estoy sin señal.
Agente: Me confirma su rut por favor.
Agente: ¿Desde cuándo ocurre este problema?
Total de silencio/hold detectado: 0:15
Agente: Voy a dejar el caso en monitoreo técnico y recibirá una actualización."
conv_0007,c00007,2025-01-01 12:58:26,2025-01-01,2025-01,2020,544,Voice,Telecom Postpaid Care,"Agente: Hola, gracias por contactarte con servicio al cliente.
Cliente: Estoy evaluando cambiar de plan este mes.
Cliente: Gracias, quedo atento a la gestión.
Agente: Voy a validar sus datos antes de continuar.
Agente: Le indicaré las alternativas disponibles para el cambio de plan."
conv_0008,c00008,2025-01-01 14:00:48,2025-01-01,2025-01,2009,510,Voice,Telecom Postpaid Care,"Cliente: Mi servicio está intermitente y no puedo navegar.
Agente: Voy a validar sus datos antes de continuar.
Agente: ¿Desde cuándo ocurre este problema?
Agente: Voy a dejar el caso en monitoreo técnico y recibirá una actualización."
conv_0009,c00009,2025-01-01 09:59:33,2025-01-01,2025-01,2024,466,Voice,Telecom Postpaid Care,"Agente: Buenas tardes, gracias por llamar a soporte.
Cliente: La aplicación me da error cuando intento realizar el pago.
Cliente: Estoy molesto porque nadie me ha solucionado nada.
Agente: Me confirma su rut por favor.
Agente: ¿Qué mensaje le aparece exactamente?
Agente: Le pido unos segundos por favor.
Total de silencio/hold detectado: 0:15
Agente: Voy a indicarle un método alternativo de pago mientras se revisa la incidencia digital."
conv_0010,c00010,2025-01-01 14:47:10,2025-01-01,2025-01,2009,650,Voice,Telecom Postpaid Care,"Agente: Hola, gracias por contactarte con servicio al cliente.
Cliente: La línea presenta fallas y se corta a cada rato.
Cliente: Ya llamé antes y sigo con el mismo problema.
Agente: Necesito corroborar su información.
Agente: Lamento lo ocurrido, revisemos el caso.
Agente: ¿Me puede indicar más detalles del inconveniente?
Agente: Un momento por favor, voy a revisar su cuenta.
Total de silencio/hold detectado: 0:27
Agente: Registré una incidencia técnica y se escalará al área correspondiente.
Agente: Gracias por contactarnos, que tenga buen día."
